% Model,no_longer_minion.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 27 2017, 14:52"
% Table,Probes 1 {tbl1} - 
% l,si_k,TBath,heater_w,sensor_w,"Dependent variable U (1), Effect Ratio {pev1}","Dependent variable T (1), Normal_Temp {pev2}"
9.830000000000002E-7,906,100,4.0E-7,3.0E-7,-0.12145918937662857,0.7529574839409424
9.830000000000002E-7,906,100,4.2499999999999995E-7,1.0E-7,-0.24439428377463243,0.8026292390604951
9.830000000000002E-7,906,100,4.2499999999999995E-7,1.5E-7,-0.20324852541853045,0.7908031636375349
9.830000000000002E-7,906,100,4.2499999999999995E-7,2.0E-7,-0.17286075817082935,0.7799175676100941
9.830000000000002E-7,906,100,4.2499999999999995E-7,2.5E-7,-0.1497029595722445,0.7697788381789056
9.830000000000002E-7,906,100,4.2499999999999995E-7,3.0E-7,-0.1316160070533364,0.7602434075351981
9.830000000000002E-7,906,100,4.5E-7,1.0E-7,-0.2620464598085067,0.8088236424426204
9.830000000000002E-7,906,100,4.5E-7,1.5E-7,-0.21817293783570818,0.7971593556247514
9.830000000000002E-7,906,100,4.5E-7,2.0E-7,-0.18568971790382038,0.7864066843207381
9.830000000000002E-7,906,100,4.5E-7,2.5E-7,-0.16092439345081722,0.7763755763825986
9.830000000000002E-7,906,100,4.5E-7,3.0E-7,-0.14153801611663777,0.7669314841751044
9.830000000000002E-7,906,100,4.75E-7,1.0E-7,-0.27919748609135636,0.8145061461527663
9.830000000000002E-7,906,100,4.75E-7,1.5E-7,-0.23268491962648158,0.8029985050226747
9.830000000000002E-7,906,100,4.75E-7,2.0E-7,-0.198186090068232,0.7923741248564653
9.830000000000002E-7,906,100,4.75E-7,2.5E-7,-0.17184250905957682,0.782449819475628
9.830000000000002E-7,906,100,4.75E-7,3.0E-7,-0.15119153625549941,0.773095774513329
9.830000000000002E-7,906,100,5.0E-7,1.0E-7,-0.2958063927299859,0.8197395749773595
9.830000000000002E-7,906,100,5.0E-7,1.5E-7,-0.24674631942777742,0.8083835140726555
9.830000000000002E-7,906,100,5.0E-7,2.0E-7,-0.2102980827417234,0.797883919487616
9.830000000000002E-7,906,100,5.0E-7,2.5E-7,-0.1824253707216394,0.7880640765887279
9.830000000000002E-7,906,100,5.0E-7,3.0E-7,-0.16054719259570904,0.7787985278667077
2.3490000000000003E-6,1788,75,1.0E-7,1.0E-7,-0.020284170001535037,0.5827452104504403
2.3490000000000003E-6,1788,75,1.0E-7,1.5E-7,-0.016450568326183516,0.5691231200362352
2.3490000000000003E-6,1788,75,1.0E-7,2.0E-7,-0.013771817865186232,0.5570209698909032
2.3490000000000003E-6,1788,75,1.0E-7,2.5E-7,-0.011824995842312537,0.5460711912017158
2.3490000000000003E-6,1788,75,1.0E-7,3.0E-7,-0.010362938951583096,0.5360229704679184
2.3490000000000003E-6,1788,75,1.25E-7,1.0E-7,-0.03313322047674,0.6239108776586024
2.3490000000000003E-6,1788,75,1.25E-7,1.5E-7,-0.027058286457879093,0.6101964295841726
2.3490000000000003E-6,1788,75,1.25E-7,2.0E-7,-0.022766083527168544,0.5979637097399308
2.3490000000000003E-6,1788,75,1.25E-7,2.5E-7,-0.01962536399193481,0.5868494165867231
2.3490000000000003E-6,1788,75,1.25E-7,3.0E-7,-0.017248093399528822,0.5766210118680337
2.3490000000000003E-6,1788,75,1.5E-7,1.0E-7,-0.04853373157131161,0.6558439952921795
2.3490000000000003E-6,1788,75,1.5E-7,1.5E-7,-0.03986193096282255,0.6421751141563115
2.3490000000000003E-6,1788,75,1.5E-7,2.0E-7,-0.03369543611497881,0.6299253662691464
2.3490000000000003E-6,1788,75,1.5E-7,2.5E-7,-0.029148827237513865,0.6187628029447019
2.3490000000000003E-6,1788,75,1.5E-7,3.0E-7,-0.02568801794463999,0.6084613876259958
2.3490000000000003E-6,1788,75,1.75E-7,1.0E-7,-0.06608700575263367,0.6815099367459205
2.3490000000000003E-6,1788,75,1.75E-7,1.5E-7,-0.05455701361360191,0.6679503152842771
2.3490000000000003E-6,1788,75,1.75E-7,2.0E-7,-0.04630119028208504,0.6557552200959171
2.3490000000000003E-6,1788,75,1.75E-7,2.5E-7,-0.04017871583651543,0.6446100095160862
2.3490000000000003E-6,1788,75,1.75E-7,3.0E-7,-0.0354953340082759,0.6342993150328675
2.3490000000000003E-6,1788,75,2.0E-7,1.0E-7,-0.0854366468551845,0.7026905427493066
2.3490000000000003E-6,1788,75,2.0E-7,1.5E-7,-0.07084927098879369,0.6892774630282187
2.3490000000000003E-6,1788,75,2.0E-7,2.0E-7,-0.06034130011283656,0.6771756496130021
2.3490000000000003E-6,1788,75,2.0E-7,2.5E-7,-0.0525089281173447,0.6660866877949919
2.3490000000000003E-6,1788,75,2.0E-7,3.0E-7,-0.04649145974385117,0.6558051944383231
2.3490000000000003E-6,1788,75,2.25E-7,1.0E-7,-0.10626970134591754,0.7205303769780379
2.3490000000000003E-6,1788,75,2.25E-7,1.5E-7,-0.08847884512827817,0.7072843550070373
